# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
1120            	7.48607430e-05	1.39141937e-05	3.08001528e-04	2.28861507e-04	7.91400208e-05
1130            	7.48607799e-05	1.39144145e-05	3.08001443e-04	2.28861501e-04	7.91399416e-05
1140            	7.48608443e-05	1.39145122e-05	3.08001508e-04	2.28861598e-04	7.91399099e-05
1150            	7.48609188e-05	1.39144722e-05	3.08001489e-04	2.28861663e-04	7.91398258e-05
1160            	7.48610053e-05	1.39142061e-05	3.08001396e-04	2.28861703e-04	7.91396928e-05
1170            	7.48610975e-05	1.39138827e-05	3.08001219e-04	2.28861707e-04	7.91395122e-05
1180            	7.48611778e-05	1.39135865e-05	3.08001083e-04	2.28861719e-04	7.91393638e-05
1190            	7.48612362e-05	1.39134400e-05	3.08001003e-04	2.28861738e-04	7.91392651e-05
1200            	7.48612742e-05	1.39133863e-05	3.08001038e-04	2.28861793e-04	7.91392446e-05
1210            	7.48612965e-05	1.39133430e-05	3.08001007e-04	2.28861800e-04	7.91392068e-05
1220            	7.48613134e-05	1.39131728e-05	3.08000919e-04	2.28861773e-04	7.91391461e-05
1230            	7.48613356e-05	1.39129789e-05	3.08000766e-04	2.28861719e-04	7.91390474e-05
1240            	7.48613612e-05	1.39128174e-05	3.08000649e-04	2.28861685e-04	7.91389631e-05
1250            	7.48613859e-05	1.39127700e-05	3.08000588e-04	2.28861680e-04	7.91389080e-05
1260            	7.48614145e-05	1.39128201e-05	3.08000654e-04	2.28861742e-04	7.91389127e-05
1270            	7.48614421e-05	1.39128882e-05	3.08000703e-04	2.28861794e-04	7.91389095e-05
1280            	7.48614746e-05	1.39128606e-05	3.08000702e-04	2.28861826e-04	7.91388764e-05
1290            	7.48615086e-05	1.39127335e-05	3.08000587e-04	2.28861802e-04	7.91387850e-05
1300            	7.48615442e-05	1.39125831e-05	3.08000471e-04	2.28861780e-04	7.91386913e-05
1310            	7.48615723e-05	1.39125113e-05	3.08000385e-04	2.28861765e-04	7.91386204e-05
1320            	7.48615941e-05	1.39125482e-05	3.08000404e-04	2.28861796e-04	7.91386077e-05
1330            	7.48616070e-05	1.39126543e-05	3.08000448e-04	2.28861831e-04	7.91386171e-05
1340            	7.48616199e-05	1.39127011e-05	3.08000482e-04	2.28861861e-04	7.91386213e-05
1350            	7.48616302e-05	1.39126135e-05	3.08000392e-04	2.28861826e-04	7.91385657e-05
1360            	7.48616450e-05	1.39124808e-05	3.08000281e-04	2.28861786e-04	7.91384957e-05
1370            	7.48616548e-05	1.39123837e-05	3.08000169e-04	2.28861739e-04	7.91384295e-05
1380            	7.48616614e-05	1.39123881e-05	3.08000154e-04	2.28861739e-04	7.91384157e-05
1390            	7.48616619e-05	1.39124986e-05	3.08000192e-04	2.28861758e-04	7.91384343e-05
1400            	7.48616621e-05	1.39125884e-05	3.08000271e-04	2.28861797e-04	7.91384732e-05
1410            	7.48616625e-05	1.39125671e-05	3.08000237e-04	2.28861781e-04	7.91384563e-05
1420            	7.48616695e-05	1.39124589e-05	3.08000151e-04	2.28861745e-04	7.91384059e-05
1430            	7.48616758e-05	1.39123389e-05	3.08000036e-04	2.28861694e-04	7.91383421e-05
1440            	7.48616810e-05	1.39122936e-05	3.08000002e-04	2.28861682e-04	7.91383200e-05
1450            	7.48616800e-05	1.39123802e-05	3.08000016e-04	2.28861688e-04	7.91383277e-05
1460            	7.48616785e-05	1.39124927e-05	3.08000120e-04	2.28861738e-04	7.91383814e-05
1470            	7.48616787e-05	1.39125467e-05	3.08000145e-04	2.28861751e-04	7.91383939e-05
1480            	7.48616799e-05	1.39124630e-05	3.08000086e-04	2.28861723e-04	7.91383631e-05
1490            	7.48616849e-05	1.39123426e-05	3.07999981e-04	2.28861675e-04	7.91383055e-05
1500            	7.48616902e-05	1.39122582e-05	3.07999924e-04	2.28861652e-04	7.91382716e-05
